item_uuid,item_name,category,origin_region,origin_country,serving_size,price
ac66e91c,Quinta De La Rosa Hawksmoor Blend Tinto 2022,Red Wines,Douro,Portugal,175,11
4e1c49c5,Quinta De La Rosa Hawksmoor Blend Tinto 2022,Red Wines,Douro,Portugal,500,30
e10e467b,Quinta De La Rosa Hawksmoor Blend Tinto 2022,Red Wines,Douro,Portugal,750,44
352cd9cd,Imbuko Releaf Cabernet Blend 2020,Red Wines,Western Cape,South Africa,750,45
0136b525,Raul Perez Castro Ventosa Mencia Joven 2022,Red Wines,Bierzo,Spain,750,49
eb9b9dfe,Bodegas Estraunza Rioja Alavesa 2022,Red Wines,Rioja,Spain,175,12
050a5e23,Bodegas Estraunza Rioja Alavesa 2022,Red Wines,Rioja,Spain,500,34
0fcfae6a,Bodegas Estraunza Rioja Alavesa 2022,Red Wines,Rioja,Spain,750,50
500db51c,Stone Spring Shiraz 2022,Red Wines,South Australia,Australia,750,53
9a882951,Domaine Roche Audran Visan 2022,Red Wines,Cotes du Rhone,France,175,14
841687d8,Domaine Roche Audran Visan 2022,Red Wines,Cotes du Rhone,France,500,36
febbaa04,Domaine Roche Audran Visan 2022,Red Wines,Cotes du Rhone,France,750,54
766ae892,Du Plevaux Pinotage 2021,Red Wines,Western Cape,South Africa,750,56
ba9f8a88,Bodega Maranones 30000 Maravedies Garnacha 2020,Red Wines,Madrid,Spain,750,60
80cf48f3,I Clivi Cabernet Franc 2021,Red Wines,Friuli Venezia-Giulia,Italy,750,62
7fd275cc,Noelia Ricci Ill Sangiovese 2021,Red Wines,Emilia-Romagna,Italy,750,60
f692959e,Pulenta Estate Hawksmoor Blend Malbec 2022,Red Wines,Mendoza,Argentina,175,16
f663f585,Pulenta Estate Hawksmoor Blend Malbec 2022,Red Wines,Mendoza,Argentina,500,42
41207a9a,Pulenta Estate Hawksmoor Blend Malbec 2022,Red Wines,Mendoza,Argentina,750,63
7077db53,La Spinetta Langhe Nebiollo 2021,Red Wines,Piedmont,Italy,750,65
51c3a507,Hartenberg Cabernet Sauvignon 2019,Red Wines,Stellenbosch,South Africa,175,17
66941640,Hartenberg Cabernet Sauvignon 2019,Red Wines,Stellenbosch,South Africa,500,44
3052a9c2,Hartenberg Cabernet Sauvignon 2019,Red Wines,Stellenbosch,South Africa,750,66
bcea1441,Gulfi RossoJbleo Nero dAvola 2022,Red Wines,Sicily,Italy,750,66
67341340,Domaine de Marcoux La Lorentine Lirac 2020,Red Wines,Rhone,France,750,68
9aa9b8af,Jean Foillard Morgon Classique 2021,Red Wines,Beaujolais,France,750,70
6dc53159,Villa Le Corti Chianti Classico 2020,Red Wines,Tuscany,Italy,175,18
d97b99a4,Villa Le Corti Chianti Classico 2020,Red Wines,Tuscany,Italy,500,49
a00769f3,Villa Le Corti Chianti Classico 2020,Red Wines,Tuscany,Italy,750,73
57765dd5,Casa los Frailes Dolomitas Monastrell 2021,Red Wines,Valencia,Spain,750,74
b3b3d1ab,Anthonij Rupert Syrah 2018,Red Wines,Franschhoek,South Africa,750,74
468e4e68,Sigurd Wines Sigurd Field Blend 2020,Red Wines,Barossa Valley,Australia,750,75
adae9103,Itata Paraiso Portezuelo Paraiso Carinena 2020,Red Wines,Itata Valley,Chile,750,79
abe4c1ea,Au Bon Climat Santa Maria Valley Pinot Noir 2019,Red Wines,Santa Maria Valley,USA,750,83
f259441c,The Ojai Vineyard Red Blend NV,Red Wines,Santa Barbara County,USA,750,85
448f9f0b,Ken Forrester Three Halves 2015,Red Wines,Stellenbosch,South Africa,750,86
6e927e21,Lopez de Heredia Vina Bosconia Reserva 2011,Red Wines,Rioja,Spain,750,90
97404aeb,Chateau Mauvesin Barton 2018,Red Wines,Moulis-en-Medoc,France,175,21
42dc6bc7,Chateau Mauvesin Barton 2018,Red Wines,Moulis-en-Medoc,France,500,60
eb0b4f83,Chateau Mauvesin Barton 2018,Red Wines,Moulis-en-Medoc,France,750,90
44bc5426,Remelluri Reserva Rioja 2016,Red Wines,Rioja,Spain,175,21
7712ff26,Remelluri Reserva Rioja 2016,Red Wines,Rioja,Spain,500,60
96a84c81,Remelluri Reserva Rioja 2016,Red Wines,Rioja,Spain,750,90
979b6c63,Pago de Carraovejas Tempranillo Tinto 2020,Red Wines,Ribera del Duero,Spain,750,96
2de1cfb2,Cavas de Weinert Cask Selection 2012,Red Wines,Mendoza,Argentina,750,101
4af81e42,Pulenta Estate Gran Malbec X 2021,Red Wines,Mendoza,Argentina,750,105
11c1256a,Pursued by Bear Bear Cub Cabernet Blend 2020,Red Wines,Columbia Valley,USA,175,23
8e5a45ec,Pursued by Bear Bear Cub Cabernet Blend 2020,Red Wines,Columbia Valley,USA,500,66
bed0eb57,Pursued by Bear Bear Cub Cabernet Blend 2020,Red Wines,Columbia Valley,USA,750,105
e69de0a9,Marcarini Barolo del Comune di La Morra 2019,Rarities,Piedmont,Italy,125,19
782d6f2c,Marcarini Barolo del Comune di La Morra 2019,Rarities,Piedmont,Italy,750,110
e2aa5e64,Produttori del Barbaresco Barbaresco 2020,Rarities,Piedmont,Italy,750,125
05c645a5,Cantina Sobrero Barolo Parussi 2019,Rarities,Piedmont,Italy,750,135
da5c2117,La Spinetta Barbaresco Bordini 2020,Rarities,Piedmont,Italy,750,148
13160a1a,Braida Bricco dell'Uccellone Barbera d'Asti 2018,Rarities,Piedmont,Italy,750,155
2c29d7c2,Romano Dal Forno Valpolicella Superiore 2017,Rarities,Veneto,Italy,750,260
dc6dd147,Cantine Bertani Amarone della Valpolicella 2012,Rarities,Veneto,Italy,750,275
7b74206e,Oddero Barolo 1964,Rarities,Piedmont,Italy,750,595
cd0203a5,Romano Dal Forno Amarone della Valpolicella 2008,Rarities,Veneto,Italy,750,700
b462a3a6,Gaja Barbaresco Costa Russi 2015,Rarities,Piedmont,Italy,750,1000
794e276c,CVNE Imperial Gran Reserva 2012,Rarities,Rioja,Spain,125,24
0f33a543,CVNE Imperial Gran Reserva 2012,Rarities,Rioja,Spain,750,144
bb024b5e,Abadia Retuerta Palomar 2019,Rarities,Castilla y León,Spain,125,28
2663fd41,Abadia Retuerta Palomar 2019,Rarities,Castilla y León,Spain,750,175
78484a69,Remelluri La Granja Gran Reserva 2015,Rarities,Rioja,Spain,750,185
4d6181bf,Abadia Retuerta Pago Negralada Tempranillo 2017,Rarities,Castilla y León,Spain,750,215
57e07e28,Pago de Carraovejas Anejon 2018,Rarities,Ribera del Duero,Spain,750,215
c8064920,López de Heredia Viña Tondonia Gran Reserva 2001,Rarities,Rioja,Spain,750,336
c0da2267,CVNE Imperial Gran Reserva 1991,Rarities,Rioja,Spain,750,350
7b0eae58,Abadia Retuerta PV Petit Verdot 2015,Rarities,Castilla y León,Spain,750,365
bdd8f95f,Pursued by Bear Bear Cub Cabernet Blend 2020,Rarities,Columbia Valley,USA,750,110
6d3c8ef2,The Ojai Vineyards Apricots Barbera/Sangiovese 2016,Rarities,Santa Barbara County,USA,750,110
07a7b028,Chateau Montelena Calistoga Zinfandel 2019,Rarities,Napa Valley,USA,125,19
d22ba3b4,Chateau Montelena Calistoga Zinfandel 2019,Rarities,Napa Valley,USA,750,112
bf7178fd,L'Ecole 41 Cabernet Sauvignon 2020,Rarities,Walla Walla Valley,USA,750,130
23a2c82a,The Ojai Vineyard John Sebastiano Vineyard Syrah 2018,Rarities,Santa Barbara County,USA,750,140
7c3ebd64,Au Bon Climat Knox Alexander 2019,Rarities,Santa Barbara County,USA,750,146
77034ce7,Orin Swift Machete Petite Sirah 2020,Rarities,Napa Valley,USA,750,150
1d33ab45,Ken Forrester The Bridge Cabernet Sauvignon 2014,Rarities,Napa Valley,USA,750,200
c09ee1ac,Paul Lato Ill Padrino Syrah 2019,Rarities,Santa Barbara County,USA,750,200
a015a730,Alban Vineyards The Mason Mourvedre 2016,Rarities,Edna Valley,USA,750,295
db8f26c5,Alban Vineyards Estate Grenache 2011,Rarities,Edna Valley,USA,750,325
3486be6f,Orin Swift Mercury Head Cabernet Sauvignon 2021,Rarities,Napa Valley,USA,750,345
94b52caa,OVID. Hexameter Cabernet Franc Blend 2017,Rarities,Pritchard Hill,USA,750,725
a9f4253b,Château de Coulaine Jean Bonnaventure Chinon 2022,Rarities,Chinon,France,750,75
1585abea,Moulin de la Gardette Gigondas Tradition 2019,Rarities,Gigondas,France,750,95
e94b9d8f,Le Clos du Caillou Les Safres 2021,Rarities,Châteauneuf-du-Pape,France,750,144
61c2c026,Chateau du Cedre Le Grand Cedre Malbec 2018,Rarities,Cahors,France,750,215
3ed952f5,Domaine Trevallon Rouge 1998,Rarities,Avignon,France,750,435
b0188e47,Ten Minutes by Tractor Up the Hill 2021,Rarities,Mornington Peninsula,Australia,750,114
0f5fd334,Weingut Bernhard Huber Malterdinger Pinot Noir 2014,Rarities,Baden,Germany,125,20
d3a47278,Weingut Bernhard Huber Malterdinger Pinot Noir 2014,Rarities,Baden,Germany,750,115
ff42250a,Pulenta Estate Gran Cabernet Franc XI 2021,Rarities,Mendoza,Argentina,750,116
ca38fd57,Vinedos de Alcohuaz RHU Syrah Grenache Blend 2018,Rarities,Elqui Valley,Chile,750,120
dcbba7a7,Glaetzer Wines Anaperenna Shiraz/Cabernet Sauvignon 2019,Rarities,Barossa Valley,Australia,125,20
fb599baa,Glaetzer Wines Anaperenna Shiraz/Cabernet Sauvignon 2019,Rarities,Barossa Valley,Australia,750,120
36cad058,Bodega Noemia J Alberto Malbec 2021,Rarities,Patagonia,Argentina,750,120
3416fda3,Quinta de la Rosa Vale do Inferno 2019,Rarities,Douro,Portugal,750,170
314ac081,Bodega Noemia Noemia Malbec 2018,Rarities,Patagonia,Argentina,750,190
f46487f2,Cavas de Weinert Gran Vino Malbec Blend 1994,Rarities,Mendoza,Argentina,125,37
e14fb64a,Cavas de Weinert Gran Vino Malbec Blend 1994,Rarities,Mendoza,Argentina,750,203
5e7b7cd0,Blank Bottle Jaa Bru Malbec 2022,Rarities,Stellenbosch,South Africa,750,93
a509c4eb,Thelema The Mint Cabernet Sauvignon 2021,Rarities,Stellenbosch,South Africa,750,95
f0e7012f,Blank Bottle Retirement at 65 Shiraz/Cinsault 2022,Rarities,Darling,South Africa,750,99
cf959545,Constantia Glen Five 2020,Rarities,Constantia,South Africa,750,105
ac845075,Hartenberg Gravel Hill Shiraz 2016,Rarities,Stellenbosch,South Africa,750,164
06f63f02,Le Bordeaux De Paysan Merlot 2021,Bordeaux,Bordeaux AOC,France,750,66
b4d8aaa1,Chateau Latour-Martillac Lagrave Martillac 2019,Bordeaux,Pessac-Leognan,France,750,84
25a340df,Chateau Charmail Cru Bourgeois Exceptionnel 2016,Bordeaux,Haut-Medoc,France,750,85
f16852fa,Chateau Mauvesin Barton 2018,Bordeaux,Moulis-en-Medoc,France,125,17
